p,q,r,theta_1,theta_2,theta_3,theta_4
1.4913,-0.0103778,-0.0100427,0.141127,-0.253107,0.00536919,-0.0659609
1.48706,-0.0112342,-0.0119319,0.139592,-0.254641,0.00383472,-0.0674953
1.48287,-0.0107975,-0.0125653,0.138059,-0.256175,0.00230122,-0.0690289
1.48018,-0.00881532,-0.0129205,0.136524,-0.257709,0.00153351,-0.0697966
1.47784,-0.00731236,-0.0155767,0.134991,-0.259243,0,-0.0713301
1.47347,-0.00595009,-0.0183738,0.133456,-0.260777,-0.00153351,-0.0728645
1.46878,-0.00608341,-0.0201329,0.131923,-0.262311,-0.00230122,-0.0736313
1.46585,-0.00626969,-0.0210889,0.130388,-0.263844,-0.00383472,-0.0751648
1.46276,-0.00596269,-0.0220615,0.128855,-0.265379,-0.00536919,-0.0766993
1.45893,-0.00645745,-0.0221081,0.12732,-0.266912,-0.00613594,-0.0782328
1.45506,-0.00627343,-0.0229138,0.125787,-0.268447,-0.00766945,-0.0797672
1.4497,-0.00591826,-0.0231289,0.124252,-0.26998,-0.00920391,-0.0813007
1.44373,-0.00637005,-0.023243,0.122719,-0.271515,-0.00997066,-0.0828352
1.43732,-0.00629215,-0.0235428,0.121184,-0.273048,-0.0115051,-0.0843687
1.43039,-0.00776374,-0.0223045,0.119651,-0.274583,-0.0130386,-0.0859032
1.42464,-0.00886444,-0.0218471,0.118116,-0.276116,-0.0145731,-0.0874367
1.41922,-0.00897398,-0.0216986,0.116583,-0.276884,-0.0153399,-0.0889711
1.41274,-0.00836524,-0.0214588,0.115048,-0.278418,-0.0168734,-0.0905046
1.40563,-0.00847017,-0.0217688,0.114282,-0.279952,-0.0184078,-0.0920391
1.39964,-0.00862447,-0.0215723,0.112747,-0.281486,-0.0199413,-0.0935726
1.39261,-0.00734255,-0.0217772,0.111214,-0.28302,-0.020709,-0.0951071
1.38536,-0.00649056,-0.0199183,0.110447,-0.283787,-0.0222425,-0.0958738
1.37728,-0.00678322,-0.0172552,0.108912,-0.28532,-0.023777,-0.0974083
1.36741,-0.00917461,-0.0147098,0.108146,-0.286088,-0.0253105,-0.0989418
1.35796,-0.0102689,-0.0143495,0.106611,-0.287621,-0.0260773,-0.100475
1.34984,-0.00899653,-0.0150994,0.105078,-0.289156,-0.0276117,-0.101243
1.34377,-0.00952612,-0.0151852,0.104311,-0.289923,-0.0291452,-0.10201
1.33802,-0.00890606,-0.0139659,0.102777,-0.291456,-0.0306797,-0.103543
1.33215,-0.00711939,-0.0134828,0.10201,-0.292224,-0.0322132,-0.104311
1.32486,-0.00634243,-0.0129922,0.100475,-0.293757,-0.0329809,-0.105844
1.31483,-0.00523467,-0.0107029,0.0997086,-0.294524,-0.0345144,-0.106611
1.30461,-0.0051093,-0.0079669,0.098175,-0.296059,-0.0360489,-0.108146
1.29637,-0.00482897,-0.00649062,0.0966406,-0.296825,-0.0368156,-0.108912
1.28841,-0.00539821,-0.00472712,0.0958738,-0.298359,-0.0383492,-0.109679
1.28067,-0.00486695,-0.00439761,0.0943403,-0.299127,-0.0398836,-0.111214
1.27386,-0.00368781,-0.00570988,0.0935726,-0.30066,-0.0406504,-0.11198
1.26798,-0.00391591,-0.00648724,0.0920391,-0.301427,-0.0421848,-0.113515
1.26045,-0.00452022,-0.00703591,0.0905046,-0.302961,-0.0429516,-0.114282
1.25404,-0.00466868,-0.00728274,0.0897379,-0.303728,-0.0444851,-0.115048
1.24536,-0.00440934,-0.00663914,0.0882044,-0.305263,-0.0452528,-0.116583
1.23826,-0.00427404,-0.00516739,0.0866699,-0.306796,-0.0467863,-0.11735
1.23157,-0.00514772,-0.00383751,0.0859032,-0.307563,-0.0475531,-0.118116
1.2232,-0.00653908,-0.00278019,0.0843687,-0.309097,-0.0483208,-0.119651
1.21407,-0.00725505,-0.0030914,0.083602,-0.310631,-0.0498543,-0.120418
1.20521,-0.00730985,-0.00204909,0.0820684,-0.311399,-0.050621,-0.121951
1.19719,-0.00704065,-0.00165193,0.080534,-0.312932,-0.0521555,-0.123486
1.18853,-0.00688836,-0.00178343,0.0790005,-0.314466,-0.0529222,-0.124252
1.17917,-0.00663436,-0.00178529,0.0782328,-0.315233,-0.0544567,-0.125787
1.17086,-0.00803918,-0.00247245,0.0766993,-0.316767,-0.0552235,-0.12732
1.16256,-0.00884058,-0.00318791,0.0759325,-0.317534,-0.0559902,-0.128087
1.15408,-0.00929444,-0.00386764,0.074398,-0.319068,-0.0575247,-0.129622
1.14515,-0.00834651,-0.00336361,0.0728645,-0.319835,-0.0582914,-0.131155
1.13674,-0.00732392,-0.00165191,0.0720968,-0.321369,-0.0598249,-0.132689
1.12675,-0.00745207,-0.00183292,0.0705633,-0.322136,-0.0605927,-0.133456
1.1166,-0.00651746,-0.00160059,0.0697966,-0.32367,-0.0621262,-0.134991
1.10687,-0.0059927,-0.000686632,0.0682621,-0.324437,-0.0628929,-0.136524
1.09779,-0.00632076,0.000224738,0.0674953,-0.325971,-0.0636606,-0.138059
1.08756,-0.00632055,-0.0003123,0.0667286,-0.326738,-0.0651941,-0.138825
1.07574,-0.00599938,-0.000604586,0.0651941,-0.328272,-0.0659609,-0.140359
1.06449,-0.00509951,0.000542386,0.0644274,-0.329039,-0.0674953,-0.141127
1.05394,-0.0054431,0.000751486,0.0636606,-0.329806,-0.0682621,-0.14266
1.04227,-0.00661426,-0.000254312,0.0628929,-0.330573,-0.0697966,-0.143427
1.02943,-0.00677908,-0.00097114,0.0613594,-0.332107,-0.0705633,-0.144195
1.01622,-0.00710758,-0.00155626,0.0605927,-0.332874,-0.0713301,-0.145728
1.00466,-0.00739764,-0.00384234,0.0598249,-0.333641,-0.0720968,-0.146495
0.993753,-0.0074934,-0.00467917,0.0590582,-0.334408,-0.0736313,-0.147263
0.983662,-0.00657304,-0.00446851,0.0582914,-0.335175,-0.074398,-0.148796
0.973056,-0.0059048,-0.00384509,0.056757,-0.336709,-0.0751648,-0.149563
0.962728,-0.00578492,-0.00383343,0.0559902,-0.337476,-0.0766993,-0.150331
0.952743,-0.00453752,-0.00383416,0.0552235,-0.338243,-0.077466,-0.151097
0.941486,-0.00369159,-0.00384376,0.0544567,-0.33901,-0.0782328,-0.151864
0.930792,-0.00292926,-0.0029854,0.053689,-0.339777,-0.0797672,-0.152631
0.918984,-0.00188738,-0.00291319,0.0529222,-0.340544,-0.080534,-0.153399
0.907419,-0.00224958,-0.00523442,0.0521555,-0.341311,-0.0813007,-0.154165
0.897378,-0.0037435,-0.00691799,0.0513887,-0.342078,-0.0820684,-0.154932
0.887468,-0.00445566,-0.00795009,0.050621,-0.342845,-0.083602,-0.155699
0.876615,-0.00410525,-0.00797857,0.0498543,-0.343612,-0.0843687,-0.156466
0.86571,-0.00424986,-0.00655937,0.0483208,-0.344378,-0.0851364,-0.157233
0.854339,-0.00446826,-0.00577186,0.0475531,-0.345146,-0.0859032,-0.158
0.843173,-0.00436138,-0.00589326,0.0467863,-0.345913,-0.0866699,-0.158
0.832081,-0.00473208,-0.00580621,0.0460196,-0.34668,-0.0874367,-0.158767
0.82075,-0.00508595,-0.00754946,0.0452528,-0.347446,-0.0882044,-0.159534
0.811243,-0.00606021,-0.00794489,0.0444851,-0.348214,-0.0889711,-0.160301
0.800591,-0.00744481,-0.00866737,0.0437183,-0.348981,-0.0897379,-0.161068
0.788059,-0.0068152,-0.00910695,0.0429516,-0.349748,-0.0905046,-0.161068
