p,q,r,theta_1,theta_2,theta_3,theta_4
-1.23482,0.00524759,0.0213964,0.360486,-0.0521555,0.202485,0.134223
-1.22454,0.00513629,0.0208494,0.36202,-0.050621,0.203253,0.135757
-1.21368,0.00525308,0.0215712,0.362786,-0.0498543,0.204786,0.136524
-1.2024,0.00527219,0.0213511,0.364321,-0.0490875,0.205553,0.137291
-1.19213,0.00552494,0.0207407,0.365088,-0.0475531,0.207088,0.138059
-1.18159,0.00582922,0.0189871,0.366622,-0.0467863,0.207854,0.139592
-1.17098,0.00517462,0.0190291,0.368155,-0.0452528,0.209389,0.140359
-1.16106,0.00578733,0.0184293,0.368922,-0.0444851,0.210155,0.141127
-1.15091,0.0061233,0.0175265,0.36969,-0.0429516,0.211689,0.141893
-1.14005,0.00529596,0.0170007,0.371223,-0.0421848,0.213223,0.143427
-1.12806,0.00405268,0.0158737,0.37199,-0.0414171,0.21399,0.144195
-1.11528,0.00428646,0.015407,0.373525,-0.0398836,0.215525,0.144961
-1.1032,0.00495896,0.0143947,0.374291,-0.0391169,0.216291,0.145728
-1.09331,0.00499783,0.0147937,0.375058,-0.0375824,0.217825,0.147263
-1.08263,0.00498909,0.0137277,0.375826,-0.0368156,0.218593,0.148029
-1.07063,0.00537409,0.0125578,0.377359,-0.0360489,0.220126,0.148796
-1.05745,0.00472178,0.0118115,0.378126,-0.0345144,0.220893,0.150331
-1.04576,0.00311506,0.0110474,0.378894,-0.0337477,0.222427,0.151097
-1.03443,0.00127765,0.010978,0.380427,-0.0329809,0.223194,0.152631
-1.02329,0.000480248,0.0109048,0.381194,-0.0314465,0.223961,0.153399
-1.01297,0.00113641,0.00936628,0.381962,-0.0306797,0.225495,0.154165
-1.00214,0.00194263,0.00889586,0.383495,-0.0299129,0.226262,0.155699
-0.989822,0.00312456,0.00739083,0.384262,-0.0283785,0.227029,0.156466
-0.977026,0.00444828,0.00699084,0.38503,-0.0276117,0.228563,0.158
-0.965265,0.00594957,0.00553409,0.386563,-0.026845,0.22933,0.158767
-0.953217,0.00616255,0.0035339,0.38733,-0.0260773,0.230097,0.159534
-0.941564,0.00651481,0.00306896,0.388098,-0.0245438,0.230865,0.161068
-0.928409,0.00591513,0.002593,0.389631,-0.023777,0.232398,0.161835
-0.915171,0.00378589,0.00187992,0.390398,-0.0230093,0.233165,0.163369
-0.902338,0.00223856,0.00215149,0.391166,-0.0222425,0.233932,0.164136
-0.889313,0.00190528,0.00232115,0.391932,-0.0214758,0.234699,0.16567
-0.87814,0.00327267,0.00239374,0.393466,-0.0199413,0.235466,0.166437
-0.865997,0.00432264,0.00211251,0.394233,-0.0191746,0.236233,0.167204
-0.854314,0.00507168,0.00148754,0.395,-0.0184078,0.237,0.167971
-0.841593,0.00462101,0.000164493,0.395767,-0.0176411,0.237767,0.169505
-0.827885,0.00414454,0.00040961,0.396534,-0.0168734,0.238534,0.170272
-0.815032,0.00395802,0.000104121,0.397301,-0.0161066,0.239301,0.171039
-0.802495,0.00345522,0.000187329,0.398068,-0.0153399,0.240068,0.171806
-0.789598,0.00314075,0.000369719,0.398835,-0.0138054,0.240835,0.172573
-0.776243,0.00445542,0.000743291,0.399602,-0.0130386,0.241602,0.17334
-0.762319,0.00581909,0.000554479,0.400369,-0.0122719,0.242369,0.174107
-0.749211,0.00658868,0.000266313,0.401136,-0.0115051,0.243136,0.174874
-0.735957,0.00634171,0.000186808,0.401903,-0.0107374,0.243136,0.175641
-0.72459,0.0050606,-0.000640132,0.40267,-0.00997066,0.243903,0.176408
-0.711467,0.00489575,-0.00250783,0.403437,-0.00920391,0.24467,0.177175
-0.697192,0.00323865,-0.00341977,0.404204,-0.00920391,0.245437,0.177942
-0.682854,0.00309896,-0.00300287,0.404971,-0.00843716,0.246204,0.177942
-0.667833,0.00289413,-0.00193035,0.405738,-0.00766945,0.246971,0.178709
-0.653194,0.00263324,-0.00124206,0.406505,-0.00690269,0.246971,0.179476
-0.640034,0.00364853,-0.00137675,0.406505,-0.00613594,0.247738,0.180243
-0.627396,0.0056719,-0.00206553,0.407272,-0.00536919,0.248505,0.180243
-0.613521,0.00550794,-0.00263076,0.408039,-0.00536919,0.248505,0.18101
-0.599243,0.00411412,-0.00226329,0.408806,-0.00460148,0.249272,0.181777
-0.584418,0.00353876,-0.000836239,0.408806,-0.00383472,0.250039,0.181777
-0.568543,0.00343249,0.000319704,0.409573,-0.00306797,0.250039,0.182544
-0.554394,0.00332338,0.000906303,0.41034,-0.00306797,0.250806,0.183311
-0.540764,0.00297296,0.00124601,0.41034,-0.00230122,0.251573,0.183311
-0.527619,0.00288556,0.00205302,0.411107,-0.00153351,0.251573,0.184078
-0.515539,0.00355026,0.0020128,0.411107,-0.00153351,0.25234,0.184845
-0.501246,0.00422095,0.00134297,0.411874,-0.000766754,0.253107,0.184845
-0.486466,0.00534203,0.000640235,0.411874,-0.000766754,0.253107,0.185612
-0.471726,0.00571631,-0.000763983,0.412641,0,0.253874,0.185612
-0.456253,0.00415988,-0.00321247,0.413408,0,0.253874,0.186378
-0.439903,0.00426036,-0.00457753,0.413408,0.000766754,0.254641,0.186378
-0.425043,0.00333195,-0.00361179,0.413408,0.000766754,0.254641,0.187146
-0.410871,0.00360348,-0.00200051,0.414175,0.00153351,0.255408,0.187146
-0.396191,0.00340862,-0.00128648,0.414175,0.00153351,0.255408,0.187146
-0.38305,0.00282136,-0.00232125,0.414942,0.00230122,0.256175,0.187913
-0.369308,0.00205517,-0.00442218,0.414942,0.00230122,0.256175,0.187913
-0.354113,0.00213901,-0.00614768,0.415709,0.00230122,0.256942,0.18868
-0.338391,0.0021789,-0.0057547,0.415709,0.00306797,0.256942,0.18868
